a52dec 0.7.4 25.fc24 x86_64
aalib-libs 1.4.0 0.29.rc5.fc24 x86_64
abattis-cantarell-fonts 0.0.24 1.fc24 noarch
abrt 2.8.2 1.fc24 x86_64
abrt-addon-ccpp 2.8.2 1.fc24 x86_64
abrt-addon-coredump-helper 2.8.2 1.fc24 x86_64
abrt-addon-kerneloops 2.8.2 1.fc24 x86_64
abrt-addon-pstoreoops 2.8.2 1.fc24 x86_64
abrt-addon-python3 2.8.2 1.fc24 x86_64
abrt-addon-vmcore 2.8.2 1.fc24 x86_64
abrt-addon-xorg 2.8.2 1.fc24 x86_64
abrt-cli 2.8.2 1.fc24 x86_64
abrt-dbus 2.8.2 1.fc24 x86_64
abrt-libs 2.8.2 1.fc24 x86_64
abrt-plugin-bodhi 2.8.2 1.fc24 x86_64
abrt-python3 2.8.2 1.fc24 x86_64
abrt-retrace-client 2.8.2 1.fc24 x86_64
abrt-tui 2.8.2 1.fc24 x86_64
acl 2.2.52 11.fc24 x86_64
adcli 0.8.0 2.fc24 x86_64
adobe-source-han-sans-cn-fonts 1.004 2.fc24 noarch
adobe-source-han-sans-tw-fonts 1.004 3.fc24 noarch
adwaita-cursor-theme 3.20 1.fc24 noarch
adwaita-gtk2-theme 3.20.2 1.fc24 x86_64
adwaita-icon-theme 3.20 1.fc24 noarch
aether-api 1.0.2 4.fc24 noarch
aether-connector-basic 1.0.2 4.fc24 noarch
aether-impl 1.0.2 4.fc24 noarch
aether-spi 1.0.2 4.fc24 noarch
aether-transport-wagon 1.0.2 4.fc24 noarch
aether-util 1.0.2 4.fc24 noarch
akmod-nvidia 378.13 2.fc24 x86_64
akmods 0.5.6 1.fc24 noarch
alsa-lib 1.1.1 1.fc24 i686
alsa-lib 1.1.1 1.fc24 x86_64
alsa-plugins-pulseaudio 1.1.1 1.fc24 x86_64
alsa-ucm 1.1.1 1.fc24 x86_64
alsa-utils 1.1.1 1.fc24 x86_64
anaconda 24.13.7 1.fc24 x86_64
anaconda-core 24.13.7 1.fc24 x86_64
anaconda-gui 24.13.7 1.fc24 x86_64
anaconda-tui 24.13.7 1.fc24 x86_64
anaconda-user-help 22.4 4.fc24 noarch
anaconda-widgets 24.13.7 1.fc24 x86_64
ant 1.9.6 3.fc24 noarch
ant-lib 1.9.6 3.fc24 noarch
aopalliance 1.0 12.fc24 noarch
apache-commons-cli 1.3.1 3.fc24 noarch
apache-commons-codec 1.10 3.fc24 noarch
apache-commons-collections 3.2.2 3.fc24 noarch
apache-commons-daemon 1.0.15 11.fc24 x86_64
apache-commons-dbcp 1.4 20.fc24 noarch
apache-commons-io 2.4 15.fc24 noarch
apache-commons-lang 2.6 18.fc24 noarch
apache-commons-lang3 3.4 4.fc24 noarch
apache-commons-logging 1.2 5.fc24 noarch
apache-commons-pool 1.6 12.fc24 noarch
apr 1.5.2 3.fc24 x86_64
apr-util 1.5.4 3.fc24 x86_64
arandr 0.1.9 1.fc24 noarch
argtable 2.13 10.fc24 x86_64
aspell 0.60.6.1 13.fc24 x86_64
aspell-en 2015.04.24 2.fc24 x86_64
at 3.1.18 1.fc24 x86_64
atinject 1 22.20100611svn86.fc24 noarch
atk 2.20.0 1.fc24 i686
atk 2.20.0 1.fc24 x86_64
atkmm 2.24.2 2.fc24 x86_64
atlas 3.10.2 12.fc24 x86_64
atmel-firmware 1.3 15.fc24 noarch
at-spi2-atk 2.20.1 1.fc24 x86_64
at-spi2-core 2.20.2 2.fc24 x86_64
attica 0.4.2 9.fc24 x86_64
attr 2.4.47 16.fc24 x86_64
audacity 2.1.3 0.7.20161109git53a5c93.fc24 x86_64
audit 2.7.3 1.fc24 x86_64
audit-libs 2.7.3 1.fc24 i686
